"Date","Price","Open","High","Low","Change %"
"Dec 07, 2020","7.7973","7.8029","7.8774","7.7958","-0.01%"
"Dec 04, 2020","7.7981","7.7739","7.8498","7.7477","0.41%"
"Dec 03, 2020","7.7665","7.8524","7.9250","7.7497","-1.07%"
"Dec 02, 2020","7.8502","7.8290","7.8836","7.7717","0.32%"
"Dec 01, 2020","7.8248","7.8328","7.9213","7.7961","-0.05%"
"Nov 30, 2020","7.8284","7.8353","7.8653","7.7424","-0.06%"
"Nov 27, 2020","7.8332","7.8695","7.8952","7.7613","-0.46%"
"Nov 26, 2020","7.8691","7.9311","7.9735","7.8456","-0.76%"
"Nov 25, 2020","7.9297","8.0022","8.0171","7.9051","-0.86%"
"Nov 24, 2020","7.9982","7.8848","8.0530","7.8295","1.49%"
"Nov 23, 2020","7.8810","7.6400","7.9569","7.6349","3.26%"
"Nov 20, 2020","7.6323","7.5529","7.7055","7.5258","1.08%"
"Nov 19, 2020","7.5507","7.7060","7.7431","7.5035","-1.99%"
"Nov 18, 2020","7.7040","7.7002","7.7914","7.6700","0.10%"
"Nov 17, 2020","7.6962","7.7015","7.8061","7.6603","-0.02%"
"Nov 16, 2020","7.6976","7.6612","7.7680","7.5920","0.49%"
"Nov 13, 2020","7.6602","7.6899","7.7583","7.5936","-0.35%"
"Nov 12, 2020","7.6869","7.7996","7.8997","7.6547","-1.41%"
"Nov 11, 2020","7.7966","8.1452","8.2041","7.7832","-4.27%"
"Nov 10, 2020","8.1446","8.0660","8.3819","8.0510","1.01%"
"Nov 09, 2020","8.0634","8.4316","8.4543","7.9887","-5.36%"
"Nov 06, 2020","8.5200","8.4220","8.5876","8.3993","1.19%"
"Nov 05, 2020","8.4202","8.4262","8.4859","8.4023","-0.06%"
"Nov 04, 2020","8.4251","8.4041","8.5320","8.3827","0.28%"
"Nov 03, 2020","8.4016","8.4221","8.5471","8.3924","-0.21%"
"Nov 02, 2020","8.4190","8.3467","8.4486","8.3401","0.89%"
"Oct 30, 2020","8.3448","8.2922","8.3899","8.2674","0.68%"
"Oct 29, 2020","8.2881","8.2576","8.3315","8.2568","0.39%"
"Oct 28, 2020","8.2559","8.1853","8.3244","8.1827","0.86%"
"Oct 27, 2020","8.1854","8.0837","8.1989","8.0815","1.31%"
"Oct 26, 2020","8.0797","7.9645","8.0995","7.9585","1.49%"
"Oct 23, 2020","7.9610","7.9351","7.9833","7.9145","0.35%"
"Oct 22, 2020","7.9329","7.8125","7.9880","7.7792","1.60%"
"Oct 21, 2020","7.8081","7.8663","7.8847","7.7880","-0.67%"
"Oct 20, 2020","7.8609","7.8837","7.9109","7.8542","-0.24%"
"Oct 19, 2020","7.8797","7.9353","7.9416","7.8691","-0.64%"
"Oct 16, 2020","7.9304","7.9356","7.9599","7.8856","-0.01%"
"Oct 15, 2020","7.9310","7.9118","7.9538","7.9059","0.29%"
"Oct 14, 2020","7.9084","7.9167","7.9612","7.8970","-0.08%"
"Oct 13, 2020","7.9146","7.8900","7.9324","7.8738","0.34%"
"Oct 12, 2020","7.8879","7.8602","7.9157","7.8510","0.40%"
"Oct 09, 2020","7.8566","7.9447","7.9591","7.8372","-1.06%"
"Oct 08, 2020","7.9406","7.8847","7.9485","7.8741","0.76%"
"Oct 07, 2020","7.8808","7.7993","7.8967","7.7821","1.13%"
"Oct 06, 2020","7.7931","7.7639","7.8084","7.7411","0.43%"
"Oct 05, 2020","7.7599","7.7714","7.7906","7.7206","-0.14%"
"Oct 02, 2020","7.7708","7.7498","7.7931","7.7066","0.27%"
"Oct 01, 2020","7.7500","7.7187","7.7880","7.6219","0.44%"
"Sep 30, 2020","7.7157","7.8189","7.8400","7.6969","-1.26%"
"Sep 29, 2020","7.8139","7.8044","7.8669","7.7590","0.15%"
"Sep 28, 2020","7.8024","7.6648","7.8409","7.6531","1.85%"
"Sep 25, 2020","7.6607","7.6228","7.6865","7.4915","0.51%"
"Sep 24, 2020","7.6216","7.7005","7.7228","7.5380","-0.98%"
"Sep 23, 2020","7.6967","7.6658","7.7137","7.6424","0.45%"
"Sep 22, 2020","7.6619","7.6318","7.6751","7.6118","0.42%"
"Sep 21, 2020","7.6299","7.5608","7.6439","7.5387","0.97%"
"Sep 18, 2020","7.5563","7.5503","7.5932","7.5240","0.13%"
"Sep 17, 2020","7.5464","7.5052","7.5663","7.4825","0.55%"
"Sep 16, 2020","7.5054","7.4892","7.5182","7.4640","0.27%"
"Sep 15, 2020","7.4854","7.4879","7.5022","7.4548","0.02%"
"Sep 14, 2020","7.4840","7.4720","7.5038","7.4590","0.16%"
"Sep 11, 2020","7.4724","7.4502","7.4828","7.4314","0.33%"
"Sep 10, 2020","7.4481","7.4889","7.5015","7.3977","-0.49%"
"Sep 09, 2020","7.4848","7.4850","7.5001","7.4565","0.04%"
"Sep 08, 2020","7.4817","7.4577","7.4921","7.4390","0.37%"
"Sep 07, 2020","7.4542","7.4360","7.4696","7.4203","0.28%"
"Sep 04, 2020","7.4331","7.4352","7.4651","7.3980","-0.01%"
"Sep 03, 2020","7.4335","7.3860","7.4549","7.3661","0.69%"
"Sep 02, 2020","7.3822","7.3694","7.4036","7.3475","0.23%"
"Sep 01, 2020","7.3652","7.3513","7.3789","7.3158","0.25%"
"Aug 31, 2020","7.3466","7.3314","7.3731","7.3110","0.19%"
"Aug 28, 2020","7.3329","7.3604","7.3797","7.2727","-0.35%"
"Aug 27, 2020","7.3587","7.3703","7.3915","7.2857","-0.10%"
"Aug 26, 2020","7.3662","7.3932","7.4212","7.3133","-0.31%"
"Aug 25, 2020","7.3893","7.3783","7.4085","7.3533","0.17%"
"Aug 24, 2020","7.3768","7.3332","7.3860","7.3035","0.55%"
"Aug 21, 2020","7.3365","7.2986","7.3527","7.1840","0.59%"
"Aug 20, 2020","7.2938","7.2923","7.3588","7.2640","0.05%"
"Aug 19, 2020","7.2905","7.3736","7.3881","7.1933","-1.07%"
"Aug 18, 2020","7.3696","7.3839","7.4036","7.3355","-0.12%"
"Aug 17, 2020","7.3787","7.3750","7.4014","7.3559","0.17%"
"Aug 14, 2020","7.3664","7.3383","7.3885","7.3291","0.42%"
"Aug 13, 2020","7.3354","7.3328","7.3665","7.2655","0.10%"
"Aug 12, 2020","7.3282","7.2182","7.3484","7.1842","1.75%"
"Aug 11, 2020","7.2025","7.3351","7.3565","7.1753","-1.78%"
"Aug 10, 2020","7.3329","7.2898","7.3689","7.2337","0.53%"
"Aug 07, 2020","7.2941","7.2396","7.3755","7.1085","0.76%"
"Aug 06, 2020","7.2389","7.0475","7.3215","7.0200","2.71%"
"Aug 05, 2020","7.0476","6.9015","7.0895","6.8945","2.13%"
"Aug 04, 2020","6.9008","6.9576","7.0342","6.8868","-0.82%"
"Aug 03, 2020","6.9578","6.9745","6.9943","6.9472","-0.20%"
"Jul 31, 2020","6.9720","6.9974","7.0153","6.9570","-0.34%"
"Jul 30, 2020","6.9955","6.9832","7.0151","6.9402","0.18%"
"Jul 29, 2020","6.9830","6.9363","7.0076","6.9215","0.69%"
"Jul 28, 2020","6.9355","6.8625","6.9785","6.8542","1.06%"
"Jul 27, 2020","6.8625","6.8468","6.9655","6.8355","0.21%"
"Jul 24, 2020","6.8484","6.8433","6.8547","6.8310","0.07%"
"Jul 23, 2020","6.8439","6.8510","6.8548","6.8250","-0.10%"
"Jul 22, 2020","6.8506","6.8247","6.8569","6.8185","0.37%"
"Jul 21, 2020","6.8254","6.8577","6.8671","6.8165","-0.47%"
"Jul 20, 2020","6.8578","6.8586","6.8688","6.8445","-0.01%"
"Jul 17, 2020","6.8587","6.8573","6.8776","6.8436","0.02%"
"Jul 16, 2020","6.8572","6.8558","6.8660","6.8460","0.02%"
"Jul 15, 2020","6.8558","6.8639","6.8705","6.8510","-0.12%"
"Jul 14, 2020","6.8642","6.8602","6.8721","6.8523","0.06%"
"Jul 13, 2020","6.8602","6.8677","6.8760","6.8422","-0.08%"
"Jul 10, 2020","6.8658","6.8618","6.8724","6.8504","0.06%"
"Jul 09, 2020","6.8619","6.8605","6.8693","6.8478","0.02%"
"Jul 08, 2020","6.8605","6.8595","6.8689","6.8457","0.01%"
"Jul 07, 2020","6.8595","6.8605","6.8706","6.8453","-0.02%"
"Jul 06, 2020","6.8609","6.8618","6.8743","6.8359","-0.02%"
"Jul 03, 2020","6.8623","6.8509","6.9899","6.8404","0.17%"
"Jul 02, 2020","6.8510","6.8480","6.8591","6.8365","0.05%"
"Jul 01, 2020","6.8479","6.8534","6.8598","6.8385","-0.07%"
"Jun 30, 2020","6.8525","6.8549","6.8590","6.8386","-0.03%"
"Jun 29, 2020","6.8548","6.8539","6.8592","6.8415","0.00%"
"Jun 26, 2020","6.8546","6.8548","6.8631","6.8403","-0.00%"
"Jun 25, 2020","6.8549","6.8563","6.8620","6.8265","-0.01%"
"Jun 24, 2020","6.8558","6.8515","6.8623","6.8362","0.07%"
"Jun 23, 2020","6.8511","6.8491","6.8627","6.8335","0.04%"
"Jun 22, 2020","6.8483","6.8478","6.8611","6.8313","-0.07%"
"Jun 19, 2020","6.8531","6.8563","6.8628","6.8260","-0.05%"
"Jun 18, 2020","6.8562","6.8448","6.8641","6.8292","0.17%"
"Jun 17, 2020","6.8448","6.8442","6.8618","6.8253","0.01%"
"Jun 16, 2020","6.8439","6.8362","6.8540","6.8127","0.11%"
"Jun 15, 2020","6.8363","6.8136","6.8637","6.8054","0.35%"
"Jun 12, 2020","6.8126","6.8415","6.8467","6.7930","-0.42%"
"Jun 11, 2020","6.8414","6.7768","6.8572","6.7667","0.95%"
"Jun 10, 2020","6.7768","6.7965","6.8029","6.7610","-0.30%"
"Jun 09, 2020","6.7973","6.7888","6.8096","6.7678","0.14%"
"Jun 08, 2020","6.7876","6.7673","6.7969","6.7570","0.26%"
"Jun 05, 2020","6.7700","6.7557","6.7962","6.7325","0.21%"
"Jun 04, 2020","6.7558","6.7439","6.7723","6.7165","0.17%"
"Jun 03, 2020","6.7440","6.7048","6.7705","6.6835","0.44%"
"Jun 02, 2020","6.7145","6.8143","6.8232","6.6870","-1.46%"
"Jun 01, 2020","6.8142","6.8221","6.8293","6.7905","-0.09%"
"May 29, 2020","6.8202","6.8157","6.8437","6.7975","0.09%"
"May 28, 2020","6.8138","6.7733","6.8245","6.7673","0.59%"
"May 27, 2020","6.7739","6.7280","6.7862","6.7190","0.69%"
"May 26, 2020","6.7275","6.8101","6.8215","6.6957","-1.21%"
"May 25, 2020","6.8100","6.8146","6.8213","6.7983","-0.07%"
"May 22, 2020","6.8147","6.7923","6.8316","6.7818","0.34%"
"May 21, 2020","6.7916","6.7907","6.8188","6.7778","0.01%"
"May 20, 2020","6.7912","6.7775","6.8018","6.7639","0.20%"
"May 19, 2020","6.7775","6.8850","6.8878","6.7536","-1.56%"
"May 18, 2020","6.8851","6.8991","6.9036","6.8235","-0.23%"
"May 15, 2020","6.9012","6.9221","6.9323","6.8928","-0.30%"
"May 14, 2020","6.9220","6.9745","6.9868","6.8988","-0.76%"
"May 13, 2020","6.9748","6.9971","7.0004","6.9647","-0.32%"
"May 12, 2020","6.9971","7.0713","7.0784","6.9699","-1.12%"
"May 11, 2020","7.0762","7.0844","7.1118","7.0530","-0.11%"
"May 08, 2020","7.0840","7.1195","7.1802","7.0575","-0.50%"
"May 07, 2020","7.1195","7.1954","7.2712","7.0623","-1.07%"
"May 06, 2020","7.1968","7.0745","7.2115","7.0624","1.73%"
"May 05, 2020","7.0746","7.0442","7.1038","7.0205","0.45%"
"May 04, 2020","7.0430","7.0158","7.0553","6.9965","0.44%"
"May 01, 2020","7.0120","6.9866","7.0441","6.9785","0.37%"
"Apr 30, 2020","6.9864","6.9521","6.9963","6.9433","0.49%"
"Apr 29, 2020","6.9520","6.9868","6.9960","6.9433","-0.50%"
"Apr 28, 2020","6.9868","6.9862","7.0051","6.9788","0.01%"
"Apr 27, 2020","6.9861","6.9707","6.9973","6.9450","0.17%"
"Apr 24, 2020","6.9742","6.9395","6.9970","6.9395","0.40%"
"Apr 23, 2020","6.9462","6.9797","7.0005","6.9226","-0.47%"
"Apr 22, 2020","6.9787","6.9812","7.0097","6.9516","-0.04%"
"Apr 21, 2020","6.9812","6.9394","7.0008","6.9346","0.59%"
"Apr 20, 2020","6.9402","6.9314","6.9575","6.8714","0.12%"
"Apr 17, 2020","6.9317","6.9397","6.9584","6.8253","-0.11%"
"Apr 16, 2020","6.9397","6.9118","6.9605","6.8860","0.40%"
"Apr 15, 2020","6.9118","6.8153","6.9283","6.8127","1.41%"
"Apr 14, 2020","6.8155","6.7723","6.8256","6.7603","0.64%"
"Apr 13, 2020","6.7721","6.7033","6.8018","6.7009","1.07%"
"Apr 10, 2020","6.7001","6.6746","6.7298","6.6590","0.38%"
"Apr 09, 2020","6.6746","6.7737","6.7979","6.6164","-1.46%"
"Apr 08, 2020","6.7737","6.7550","6.7968","6.7512","0.29%"
"Apr 07, 2020","6.7540","6.7801","6.7895","6.6927","-0.41%"
"Apr 06, 2020","6.7815","6.7291","6.7951","6.7075","0.75%"
"Apr 03, 2020","6.7310","6.6137","6.7517","6.6083","1.75%"
"Apr 02, 2020","6.6153","6.7024","6.7205","6.5891","-1.31%"
"Apr 01, 2020","6.7030","6.6149","6.7140","6.6087","1.34%"
"Mar 31, 2020","6.6143","6.5764","6.6272","6.5490","0.56%"
"Mar 30, 2020","6.5773","6.4549","6.5974","6.4433","1.89%"
"Mar 27, 2020","6.4550","6.3982","6.4764","6.3885","0.89%"
"Mar 26, 2020","6.3979","6.4169","6.5117","6.3793","-0.30%"
"Mar 25, 2020","6.4170","6.4205","6.4773","6.3773","-0.05%"
"Mar 24, 2020","6.4203","6.5605","6.5740","6.3917","-2.16%"
"Mar 23, 2020","6.5617","6.5528","6.6185","6.5403","0.14%"
"Mar 20, 2020","6.5525","6.5438","6.5665","6.4548","0.13%"
"Mar 19, 2020","6.5439","6.4840","6.5582","6.4653","1.06%"
"Mar 18, 2020","6.4752","6.4010","6.4945","6.3995","1.22%"
"Mar 17, 2020","6.3974","6.4313","6.4980","6.3780","-0.53%"
"Mar 16, 2020","6.4315","6.3310","6.4465","6.2780","1.57%"
"Mar 13, 2020","6.3321","6.3139","6.3392","6.2400","0.26%"
"Mar 12, 2020","6.3159","6.2089","6.3210","6.2027","1.72%"
"Mar 11, 2020","6.2091","6.1584","6.2141","6.1245","0.84%"
"Mar 10, 2020","6.1575","6.1485","6.1725","6.0996","0.22%"
"Mar 09, 2020","6.1442","6.0919","6.1951","6.0833","0.86%"
"Mar 06, 2020","6.0919","6.1097","6.1296","6.0645","-0.30%"
"Mar 05, 2020","6.1105","6.0785","6.1354","6.0527","0.55%"
"Mar 04, 2020","6.0773","6.1058","6.1472","6.0547","-0.49%"
"Mar 03, 2020","6.1070","6.1779","6.2248","6.0307","-1.09%"
"Mar 02, 2020","6.1743","6.2453","6.2615","6.1575","-1.10%"
"Feb 28, 2020","6.2427","6.2110","6.2605","6.1950","0.56%"
"Feb 27, 2020","6.2078","6.1570","6.2115","6.1452","0.79%"
"Feb 26, 2020","6.1590","6.1441","6.1674","6.1360","0.24%"
"Feb 25, 2020","6.1441","6.1189","6.1612","6.0659","0.43%"
"Feb 24, 2020","6.1177","6.0962","6.1624","6.0932","0.35%"
"Feb 21, 2020","6.0964","6.1002","6.1289","6.0870","-0.07%"
"Feb 20, 2020","6.1004","6.0825","6.1114","6.0760","0.30%"
"Feb 19, 2020","6.0823","6.0629","6.0892","6.0447","0.30%"
"Feb 18, 2020","6.0642","6.0455","6.0765","6.0410","0.32%"
"Feb 17, 2020","6.0449","6.0542","6.0602","6.0332","-0.09%"
"Feb 14, 2020","6.0505","6.0377","6.0683","6.0311","0.17%"
"Feb 13, 2020","6.0405","6.0480","6.0686","6.0353","-0.02%"
"Feb 12, 2020","6.0420","6.0130","6.0670","5.9960","0.43%"
"Feb 11, 2020","6.0163","6.0098","6.0501","5.9985","0.09%"
"Feb 10, 2020","6.0108","6.0164","6.0257","5.9720","-0.07%"
"Feb 07, 2020","6.0153","5.9869","6.0476","5.9725","0.47%"
"Feb 06, 2020","5.9874","5.9803","5.9900","5.9726","0.08%"
"Feb 05, 2020","5.9827","5.9820","5.9920","5.9688","0.04%"
"Feb 04, 2020","5.9801","5.9843","5.9888","5.9575","-0.07%"
"Feb 03, 2020","5.9844","5.9829","5.9877","5.9729","0.04%"
"Jan 31, 2020","5.9822","5.9727","5.9870","5.9639","0.16%"
"Jan 30, 2020","5.9725","5.9617","5.9934","5.9563","0.27%"
"Jan 29, 2020","5.9567","5.9409","5.9753","5.9327","0.28%"
"Jan 28, 2020","5.9403","5.9422","5.9537","5.9260","-0.06%"
"Jan 27, 2020","5.9440","5.9392","5.9574","5.9290","0.08%"
"Jan 24, 2020","5.9391","5.9314","5.9478","5.9170","0.08%"
"Jan 23, 2020","5.9344","5.9220","5.9495","5.8994","0.21%"
"Jan 22, 2020","5.9222","5.9405","5.9478","5.9150","-0.26%"
"Jan 21, 2020","5.9376","5.9121","5.9416","5.9107","0.41%"
"Jan 20, 2020","5.9132","5.8810","5.9218","5.8810","0.38%"
"Jan 17, 2020","5.8908","5.8574","5.9106","5.8410","0.53%"
"Jan 16, 2020","5.8597","5.8773","5.8963","5.8350","-0.27%"
"Jan 15, 2020","5.8758","5.8815","5.9008","5.8654","-0.10%"
"Jan 14, 2020","5.8819","5.8674","5.9036","5.8579","0.25%"
"Jan 13, 2020","5.8671","5.8839","5.8845","5.8509","-0.18%"
"Jan 10, 2020","5.8777","5.8706","5.8966","5.8535","0.06%"
"Jan 09, 2020","5.8739","5.9093","5.9306","5.8593","-0.60%"
"Jan 08, 2020","5.9091","5.9710","5.9881","5.8950","-1.06%"
"Jan 07, 2020","5.9727","5.9677","5.9791","5.9459","0.06%"
"Jan 06, 2020","5.9690","5.9758","5.9811","5.9631","-0.06%"
"Jan 03, 2020","5.9723","5.9545","5.9785","5.9460","0.26%"
"Jan 02, 2020","5.9566","5.9458","5.9615","5.9415","0.17%"
"Jan 01, 2020","5.9466","5.9461","5.9491","5.9375","-0.04%"
"Dec 31, 2019","5.9489","5.9451","5.9521","5.9369","0.02%"
"Dec 30, 2019","5.9479","5.9521","5.9540","5.9348","-0.04%"
"Dec 27, 2019","5.9502","5.9261","5.9604","5.9220","0.28%"
"Dec 26, 2019","5.9335","5.9344","5.9479","5.9289","-0.03%"
"Dec 25, 2019","5.9350","5.9459","5.9488","5.9260","-0.20%"
"Dec 24, 2019","5.9468","5.9474","5.9564","5.9250","-0.03%"
"Dec 23, 2019","5.9486","5.9393","5.9513","5.9135","0.14%"
"Dec 20, 2019","5.9400","5.9424","5.9469","5.8994","-0.03%"
"Dec 19, 2019","5.9417","5.9260","5.9475","5.8987","0.26%"
"Dec 18, 2019","5.9261","5.8866","5.9345","5.8852","0.68%"
"Dec 17, 2019","5.8860","5.8503","5.8930","5.8441","0.62%"
"Dec 16, 2019","5.8498","5.8116","5.8625","5.8029","0.72%"
"Dec 13, 2019","5.8082","5.7885","5.8264","5.7639","0.29%"
"Dec 12, 2019","5.7914","5.8084","5.8122","5.7585","-0.28%"
"Dec 11, 2019","5.8074","5.8038","5.8188","5.7880","0.03%"
"Dec 10, 2019","5.8057","5.8104","5.8205","5.7865","-0.10%"
"Dec 09, 2019","5.8113","5.7786","5.8201","5.7709","0.60%"
"Dec 06, 2019","5.7766","5.7458","5.7898","5.7350","0.49%"
"Dec 05, 2019","5.7485","5.7459","5.7724","5.7364","-0.04%"
"Dec 04, 2019","5.7508","5.7429","5.7611","5.7304","0.13%"
"Dec 03, 2019","5.7431","5.7395","5.7645","5.7241","0.03%"
"Dec 02, 2019","5.7415","5.7488","5.7663","5.7293","-0.10%"
"Nov 29, 2019","5.7470","5.7496","5.7669","5.7310","-0.20%"
"Nov 28, 2019","5.7585","5.7795","5.7903","5.7536","-0.34%"
"Nov 27, 2019","5.7779","5.7575","5.7914","5.7445","0.32%"
"Nov 26, 2019","5.7597","5.7420","5.7736","5.7316","0.32%"
"Nov 25, 2019","5.7416","5.7246","5.7611","5.7034","0.50%"
"Nov 22, 2019","5.7132","5.6890","5.7235","5.6840","0.29%"
"Nov 21, 2019","5.6966","5.7027","5.7138","5.6830","-0.05%"
"Nov 20, 2019","5.6997","5.7021","5.7283","5.6856","0.01%"
"Nov 19, 2019","5.6990","5.7299","5.7422","5.6900","-0.66%"
"Nov 18, 2019","5.7369","5.7465","5.7566","5.7171","-0.15%"
"Nov 15, 2019","5.7453","5.7451","5.7702","5.7330","-0.04%"
"Nov 14, 2019","5.7477","5.7421","5.7820","5.7351","0.13%"
"Nov 13, 2019","5.7403","5.7746","5.7818","5.7280","-0.65%"
"Nov 12, 2019","5.7776","5.7702","5.7823","5.7565","0.07%"
"Nov 11, 2019","5.7733","5.7711","5.7987","5.7598","0.11%"
"Nov 08, 2019","5.7668","5.7515","5.7712","5.7330","0.25%"
"Nov 07, 2019","5.7522","5.7521","5.7676","5.7306","0.02%"
"Nov 06, 2019","5.7508","5.7545","5.7752","5.7419","-0.04%"
"Nov 05, 2019","5.7533","5.7382","5.7669","5.7145","0.25%"
"Nov 04, 2019","5.7387","5.7065","5.7413","5.6750","0.46%"
"Nov 01, 2019","5.7124","5.7251","5.7525","5.7042","-0.01%"
"Oct 31, 2019","5.7130","5.7072","5.7321","5.6974","0.19%"
"Oct 30, 2019","5.7020","5.7348","5.7704","5.6925","-0.62%"
"Oct 29, 2019","5.7373","5.7332","5.7562","5.7145","0.11%"
"Oct 28, 2019","5.7312","5.7767","5.7785","5.7140","-0.75%"
"Oct 25, 2019","5.7748","5.7625","5.7917","5.7475","0.18%"
"Oct 24, 2019","5.7647","5.7345","5.7812","5.7252","0.52%"
"Oct 23, 2019","5.7351","5.8088","5.8134","5.7240","-1.26%"
"Oct 22, 2019","5.8084","5.8584","5.8652","5.7835","-0.85%"
"Oct 21, 2019","5.8582","5.7947","5.8697","5.7778","1.14%"
"Oct 18, 2019","5.7919","5.8287","5.8325","5.7435","-0.65%"
"Oct 17, 2019","5.8299","5.8871","5.9315","5.8132","-0.97%"
"Oct 16, 2019","5.8870","5.9131","5.9321","5.8680","-0.50%"
"Oct 15, 2019","5.9165","5.9348","5.9414","5.8601","-0.18%"
"Oct 14, 2019","5.9271","5.8852","5.9383","5.8851","0.71%"
"Oct 11, 2019","5.8853","5.8347","5.8989","5.8055","0.84%"
"Oct 10, 2019","5.8365","5.8715","5.9021","5.8178","-0.59%"
"Oct 09, 2019","5.8712","5.8308","5.8787","5.8113","0.69%"
"Oct 08, 2019","5.8311","5.8336","5.8517","5.7770","-0.03%"
"Oct 07, 2019","5.8328","5.7046","5.8452","5.6940","2.40%"
"Oct 04, 2019","5.6962","5.6926","5.7127","5.6700","0.03%"
"Oct 03, 2019","5.6947","5.7024","5.7176","5.6650","-0.13%"
"Oct 02, 2019","5.7020","5.7272","5.7641","5.6963","-0.37%"
"Oct 01, 2019","5.7231","5.6459","5.7324","5.6370","1.31%"
"Sep 30, 2019","5.6489","5.6708","5.6772","5.6280","-0.39%"
"Sep 27, 2019","5.6708","5.6653","5.6894","5.6415","0.09%"
"Sep 26, 2019","5.6655","5.6706","5.6988","5.6418","-0.09%"
"Sep 25, 2019","5.6706","5.6993","5.7134","5.6655","-0.47%"
"Sep 24, 2019","5.6973","5.7158","5.7221","5.6620","-0.35%"
"Sep 23, 2019","5.7174","5.7430","5.7453","5.7065","-0.46%"
"Sep 20, 2019","5.7439","5.7150","5.7494","5.6750","0.44%"
"Sep 19, 2019","5.7187","5.6799","5.7252","5.6678","0.74%"
"Sep 18, 2019","5.6768","5.7052","5.7116","5.6528","-0.43%"
"Sep 17, 2019","5.7016","5.7293","5.7451","5.6890","-0.48%"
"Sep 16, 2019","5.7290","5.6893","5.7461","5.6891","0.75%"
"Sep 13, 2019","5.6861","5.6556","5.6935","5.6440","0.52%"
"Sep 12, 2019","5.6566","5.7560","5.7763","5.6555","-1.65%"
"Sep 11, 2019","5.7515","5.7703","5.7972","5.7428","-0.29%"
"Sep 10, 2019","5.7683","5.7516","5.7915","5.7397","0.32%"
"Sep 09, 2019","5.7500","5.7137","5.7660","5.6940","0.60%"
"Sep 06, 2019","5.7155","5.6916","5.7295","5.6750","0.42%"
"Sep 05, 2019","5.6917","5.6711","5.7068","5.6452","0.44%"
"Sep 04, 2019","5.6670","5.7284","5.7347","5.6400","-1.09%"
"Sep 03, 2019","5.7293","5.8074","5.8232","5.7165","-1.33%"
"Sep 02, 2019","5.8068","5.8330","5.8419","5.7904","-0.41%"
"Aug 30, 2019","5.8306","5.8390","5.8514","5.8134","-0.16%"
"Aug 29, 2019","5.8400","5.8120","5.8481","5.7955","0.46%"
"Aug 28, 2019","5.8134","5.8307","5.8403","5.7873","-0.24%"
"Aug 27, 2019","5.8275","5.8296","5.8635","5.7947","0.04%"
"Aug 26, 2019","5.8252","5.7653","5.8423","5.7647","1.13%"
"Aug 23, 2019","5.7599","5.7689","5.7774","5.7260","-0.15%"
"Aug 22, 2019","5.7688","5.7175","5.7899","5.7050","0.92%"
"Aug 21, 2019","5.7162","5.7358","5.7446","5.7008","-0.22%"
"Aug 20, 2019","5.7290","5.6622","5.7500","5.6345","1.20%"
"Aug 19, 2019","5.6609","5.5864","5.6805","5.5611","1.48%"
"Aug 16, 2019","5.5785","5.5680","5.5867","5.5205","0.19%"
"Aug 15, 2019","5.5680","5.6143","5.6188","5.5388","-0.80%"
"Aug 14, 2019","5.6128","5.5611","5.6310","5.5557","0.90%"
"Aug 13, 2019","5.5629","5.5674","5.6383","5.5489","-0.02%"
"Aug 12, 2019","5.5640","5.4951","5.5777","5.4898","1.32%"
"Aug 09, 2019","5.4917","5.4760","5.5138","5.4460","0.25%"
"Aug 08, 2019","5.4782","5.5000","5.5217","5.4501","-0.28%"
"Aug 07, 2019","5.4938","5.5202","5.5356","5.4538","-0.49%"
"Aug 06, 2019","5.5209","5.5656","5.5953","5.5062","-0.91%"
"Aug 05, 2019","5.5715","5.5600","5.6185","5.5240","0.21%"
"Aug 02, 2019","5.5597","5.6029","5.6188","5.5418","-0.79%"
"Aug 01, 2019","5.6039","5.5812","5.6295","5.5496","0.31%"
"Jul 31, 2019","5.5864","5.5559","5.6211","5.5040","0.48%"
"Jul 30, 2019","5.5597","5.6163","5.6249","5.5424","-0.98%"
"Jul 29, 2019","5.6148","5.6758","5.6758","5.5935","-1.00%"
"Jul 26, 2019","5.6718","5.7025","5.7064","5.6000","-0.54%"
"Jul 25, 2019","5.7027","5.7086","5.7680","5.6395","-0.10%"
"Jul 24, 2019","5.7085","5.7209","5.7394","5.6944","-0.16%"
"Jul 23, 2019","5.7178","5.6795","5.7252","5.6610","0.72%"
"Jul 22, 2019","5.6770","5.6403","5.6947","5.6316","0.39%"
"Jul 19, 2019","5.6551","5.6176","5.6776","5.6080","0.66%"
"Jul 18, 2019","5.6181","5.6859","5.7133","5.6128","-1.16%"
"Jul 17, 2019","5.6842","5.7134","5.7208","5.6656","-0.48%"
"Jul 16, 2019","5.7118","5.7125","5.7239","5.6845","-0.05%"
"Jul 15, 2019","5.7148","5.7220","5.7355","5.6968","-0.09%"
"Jul 12, 2019","5.7200","5.6831","5.7883","5.6604","0.82%"
"Jul 11, 2019","5.6734","5.6762","5.6935","5.6456","-0.01%"
"Jul 10, 2019","5.6741","5.7294","5.7599","5.6658","-1.01%"
"Jul 09, 2019","5.7322","5.7392","5.7485","5.6765","-0.08%"
"Jul 08, 2019","5.7367","5.6295","5.7940","5.6294","1.92%"
"Jul 05, 2019","5.6288","5.5952","5.6452","5.5805","0.60%"
"Jul 04, 2019","5.5953","5.6243","5.6272","5.5725","-0.53%"
"Jul 03, 2019","5.6249","5.6631","5.6723","5.6002","-0.49%"
